Strain,TechRep,ClusterID,Num.Cells.Progeny,Num.Cells.Parent,RepTime.sec,EntersField.sec
B203,2,2,2,NA,190120,0
B203,2,2,4,NA,190120,0
B203,2,2,1,NA,190120,0
B203,2,2,1,NA,190120,0
B203,2,2,8,NA,194040,0
B203,2,2,2,NA,196000,0
B203,2,3,32,96,111720,0
B203,2,4,8,40,33320,0
B203,2,5,4,40,43120,0
B203,2,5,4,40,43120,0
B203,2,5,8,40,43120,0
B203,2,5,8,24,45080,0
B203,2,5,8,24,45080,0
B203,2,5,8,24,45080,0
B203,2,5,1,128,147000,0
B203,2,5,1,128,147000,0
B203,2,5,4,126,152880,0
B203,2,5,4,126,152880,0
B203,2,5,4,126,152880,0
B203,2,5,4,114,162680,0
B203,2,5,4,114,162680,0
B203,2,6,NA,NA,NA,0
B203,2,7,NA,NA,NA,0
B203,2,8,16,128,152880,0
B203,2,8,4,124,160720,0
B203,2,8,8,116,174440,0
B203,2,9,16,NA,141120,0
B203,3,1,NA,NA,NA,0
B203,3,2,NA,NA,NA,0
B203,3,3,NA,NA,NA,0
B203,3,4,NA,NA,NA,0
B203,3,5,NA,NA,NA,0
B203,3,6,NA,NA,NA,0
B203,3,7,1,NA,219520,0
B203,3,7,1,NA,221480,0
B203,3,7,1,NA,227360,0
B203,3,7,4,NA,227360,0
B203,3,7,1,NA,227360,0
B203,3,7,4,NA,243040,0
B203,4,1,1,256,160720,0
B203,4,1,1,256,160720,0
B203,4,1,1,256,160720,0
B203,4,1,1,256,160720,0
B203,4,1,1,252,168560,0
B203,4,1,1,252,168560,0
B203,4,1,4,252,168560,0
B203,4,1,4,248,176400,0
B203,4,1,4,244,178360,0
B203,4,1,4,244,178360,0
B203,4,1,1,236,180320,0
B203,4,1,8,NA,182280,0
B203,4,1,4,NA,197960,0
B203,4,1,8,NA,199920,0
B203,4,1,2,NA,201880,0
B203,4,1,4,NA,209720,0
B203,4,1,8,NA,209720,0
B203,4,1,8,NA,209720,0
B203,4,1,4,NA,209720,0
B203,4,1,4,NA,211680,0
B203,4,1,2,NA,211680,0
B203,4,1,4,NA,221480,0
B203,4,1,4,NA,223440,0
B203,4,1,4,NA,229320,0
B203,4,1,4,NA,229320,0
B203,4,1,4,NA,229320,0
B203,4,2,4,NA,148960,0
B203,4,2,4,NA,154840,0
B203,4,2,4,NA,174440,0
B203,4,2,4,NA,176400,0
B203,4,2,8,NA,178360,0
B203,4,2,4,NA,180320,0
B203,4,2,4,NA,180320,0
B203,4,2,4,NA,186200,0
B203,4,2,4,NA,186200,0
B203,4,2,1,NA,186200,0
B203,4,2,1,NA,194040,0
B203,4,2,1,NA,194040,0
B203,4,2,2,NA,194040,0
B203,4,2,4,NA,197960,0
B203,4,2,4,NA,197960,0
B203,4,2,1,NA,201880,0
B203,4,2,4,NA,201880,0
B203,4,2,4,NA,203840,0
B203,4,2,4,NA,209720,0
B203,4,2,4,NA,209720,0
B203,4,2,4,NA,209720,0
B203,4,2,2,NA,213640,0
B203,4,2,4,NA,213640,0
B203,4,2,2,NA,225400,0
B203,4,2,2,NA,225400,0
B203,4,2,4,NA,225400,0
B203,4,2,4,NA,225400,0
B203,4,3,1,NA,109760,0
B203,4,3,1,NA,113680,0
B203,4,3,4,NA,121520,0
B203,4,3,4,NA,121520,0
B203,4,3,4,NA,121520,0
B203,4,3,4,NA,127400,0
B203,4,3,4,NA,150920,0
B203,4,4,8,NA,186200,0
B203,5,1,NA,NA,NA,0
B203,5,2,NA,NA,NA,0
B203,5,3,NA,NA,NA,0
B203,5,4,NA,NA,NA,0
B203,5,5,NA,NA,NA,0
B203,5,6,NA,NA,NA,0
B203,5,7,NA,NA,NA,0
B203,5,8,16,64,127400,0
B203,5,8,4,48,158760,0
B203,5,8,4,48,158760,0
B203,5,8,4,48,158760,0
B203,5,8,1,48,158760,0
B203,5,8,4,35,164640,0
B203,5,8,4,31,166600,0
B204,1,1,16,NA,211680,0
B204,1,1,16,496,213640,0
B204,1,2,NA,NA,NA,0
B204,1,3,NA,NA,NA,0
B204,1,4,16,64,62720,0
B204,1,4,16,48,76440,0
B204,1,4,16,48,76440,0
B204,1,4,16,48,76440,0
B204,1,5,NA,NA,NA,0
B204,1,6,NA,NA,NA,0
B204,2,1,1,NA,143080,0
B204,2,1,1,NA,143080,0
B204,2,1,1,NA,143080,0
B204,2,1,4,NA,156800,0
B204,2,1,4,NA,152880,0
B204,2,1,8,NA,182280,0
B204,2,1,4,NA,207760,0
B204,2,1,4,NA,221480,0
B204,2,1,4,NA,221480,0
B204,2,1,4,NA,221480,0
B204,2,2,4,128,209720,0
B204,2,2,4,128,211680,0
B204,2,2,4,128,211680,0
B204,2,2,4,128,211680,0
B204,2,2,4,128,213640,0
B204,2,3,NA,NA,NA,0
B204,3,1,NA,NA,NA,0
B204,3,2,4,128,156800,0
B204,3,2,4,124,158760,0
B204,3,2,4,124,158760,0
B204,3,2,1,116,164640,0
B204,3,2,4,115,172480,0
B204,3,2,4,115,172480,0
B204,3,2,4,115,172480,0
B204,3,2,4,103,176400,0
B204,3,2,4,99,184240,0
B204,3,2,4,95,190120,0
B204,3,3,4,128,160720,0
B204,3,4,4,256,147000,0
B204,3,4,4,256,147000,0
B204,3,4,4,256,147000,0
B204,3,4,4,256,147000,0
B204,3,4,4,240,154840,0
B204,3,4,4,240,154840,0
B204,3,4,1,240,154840,0
B204,3,4,4,231,162680,0
B204,3,4,4,227,164640,0
B204,3,4,4,223,168560,0
B204,3,4,4,219,172480,0
B204,3,4,4,219,172480,0
B204,3,4,4,219,172480,0
B204,3,4,4,207,174440,0
B204,3,4,4,207,174440,0
B204,3,4,4,207,174440,0
B204,3,4,4,207,174440,0
B204,3,4,4,207,174440,0
B204,3,4,1,187,186200,0
B204,3,4,4,187,186200,0
B204,3,4,2,182,190120,0
B204,3,4,16,180,190120,0
B204,3,4,2,180,190120,0
B204,3,5,16,NA,194040,0
B204,3,6,4,512,141120,0
B204,3,6,2,512,141120,0
B204,3,6,2,512,141120,0
B204,3,6,4,504,143080,0
B204,3,6,4,504,143080,0
B204,3,6,4,504,143080,0
B204,3,6,4,492,150920,0
B204,3,6,64,492,150920,0
B204,4,1,8,60,31360,0
B204,4,1,8,60,31360,0
B204,4,1,8,44,41160,0
B204,4,1,8,44,41160,0
B204,4,1,8,44,41160,0
B204,4,1,8,44,41160,0
B204,4,1,8,44,41160,0
B204,4,1,4,44,41160,0
B204,4,2,64,256,84280,0
B204,4,2,1,192,121520,0
B204,4,2,4,191,125440,0
B204,4,2,4,191,125440,0
B204,4,2,4,183,137200,0
B204,4,2,4,179,184240,0
B204,4,2,2,179,184240,0
B204,4,2,1,173,186200,0
B204,4,3,NA,NA,NA,0
B204,4,4,16,64,41160,0
B204,4,5,8,64,37240,0
B204,4,5,8,56,43120,0
B204,4,5,8,48,52920,0
B204,4,5,8,40,54880,0
B204,4,6,NA,NA,NA,0
B204,4,7,2,16,21560,0
B204,4,7,2,16,21560,0
B204,4,7,2,16,21560,0
B204,4,7,2,16,21560,0
B204,4,7,4,16,21560,0
B204,4,7,4,16,21560,0
B204,4,7,4,16,21560,0
B204,4,7,4,16,21560,0
B204,4,8,16,64,78400,0
B204,4,8,2,192,172480,0
B204,4,8,4,192,172480,0
B204,4,8,16,186,192080,0
B204,4,8,4,170,196000,0
B204,4,8,4,166,201880,0
B204,5,1,NA,NA,NA,0
B204,5,2,NA,NA,NA,0
B204,5,3,NA,NA,NA,0
B204,5,4,4,256,152880,0
B204,5,4,4,252,156800,0
B204,5,4,4,252,156800,0
B204,5,4,4,252,156800,0
B204,5,5,NA,NA,NA,0
B204,5,6,NA,NA,NA,0
B210,1,1,1,16,123480,0
B210,1,1,1,16,221480,0
B210,1,1,1,16,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,1,1,13,221480,0
B210,1,2,1,4,58800,29400
B210,1,2,1,4,58800,29400
B210,1,2,1,4,58800,29400
B210,1,2,1,4,58800,29400
B210,1,3,1,4,70560,19600
B210,1,3,1,4,70560,19600
B210,1,3,1,4,70560,19600
B210,1,3,1,4,70560,19600
B210,1,4,1,4,70560,21560
B210,1,4,1,4,70560,21560
B210,1,4,1,4,70560,21560
B210,1,4,1,4,70560,21560
B210,1,5,1,2,52920,21560
B210,1,5,1,2,52920,21560
B210,1,6,1,4,70560,17640
B210,1,6,1,4,70560,17640
B210,1,6,1,4,70560,17640
B210,1,6,1,4,70560,17640
B210,2,1,1,4,54880,21560
B210,2,1,1,4,54880,21560
B210,2,1,1,2,56840,21560
B210,2,1,1,2,56840,21560
B210,2,2,1,4,54880,13720
B210,2,2,1,4,54880,13720
B210,2,2,1,4,54880,13720
B210,2,2,1,4,54880,13720
B210,2,3,1,4,72520,0
B210,2,3,1,4,72520,0
B210,2,3,1,4,72520,0
B210,2,3,1,4,72520,0
B210,2,4,1,4,64680,0
B210,2,4,1,4,64680,0
B210,2,4,1,4,64680,0
B210,2,4,1,4,64680,0
B210,2,5,1,8,70560,5880
B210,2,5,1,8,70560,5880
B210,2,5,1,8,70560,5880
B210,2,5,1,8,70560,5880
B210,2,5,1,8,70560,5880
B210,2,5,1,8,70560,5880
B210,2,5,1,8,70560,5880
B210,2,5,1,8,70560,5880
B210,2,6,1,4,66640,13720
B210,2,6,1,4,66640,13720
B210,2,6,1,4,66640,13720
B210,2,6,1,4,66640,13720
B210,2,7,1,4,70560,15680
B210,2,7,1,3,72520,15680
B210,2,7,1,3,72520,15680
B210,2,7,1,3,72520,15680
B210,2,8,1,4,64680,7840
B210,2,8,1,4,64680,7840
B210,2,8,1,4,64680,7840
B210,2,8,1,4,64680,7840
B210,2,9,1,4,58800,11760
B210,2,9,1,4,58800,11760
B210,2,9,1,4,58800,11760
B210,2,9,1,4,58800,11760
B210,2,10,1,4,62720,19600
B210,2,10,1,4,62720,19600
B210,2,10,1,2,64680,19600
B210,2,10,1,2,64680,19600
B210,2,11,1,4,56840,9800
B210,2,11,1,4,56840,9800
B210,2,11,1,4,56840,9800
B210,2,11,1,4,56840,9800
B210,3,1,1,4,74480,23520
B210,3,1,1,4,74480,23520
B210,3,1,1,4,74480,23520
B210,3,1,1,4,74480,23520
B210,3,2,1,4,78400,23520
B210,3,2,1,4,78400,23520
B210,3,2,1,4,78400,23520
B210,3,2,1,4,78400,23520
B210,3,3,1,4,78400,23520
B210,3,3,1,4,78400,23520
B210,3,3,1,4,78400,23520
B210,3,3,1,4,78400,23520
B210,3,4,NA,NA,NA,0
B210,3,5,1,4,78400,19600
B210,3,5,1,4,78400,19600
B210,3,5,1,4,78400,19600
B210,3,5,1,4,78400,19600
B210,3,6,NA,NA,NA,0
B210,3,7,1,4,78400,23520
B210,3,7,1,4,78400,23520
B210,3,7,1,4,78400,23520
B210,3,7,1,4,78400,23520
B210,3,8,1,4,74480,23520
B210,3,8,1,4,74480,23520
B210,3,8,1,4,74480,23520
B210,3,8,1,4,74480,23520
B210,3,9,1,4,72520,25480
B210,3,9,1,4,72520,25480
B210,3,9,1,4,72520,25480
B210,3,9,1,4,72520,25480
B210,3,10,1,4,72520,21560
B210,3,10,1,4,72520,21560
B210,3,10,1,4,72520,21560
B210,3,10,1,4,72520,21560
B210,4,1,1,16,64680,0
B210,4,1,1,15,66640,0
B210,4,1,1,15,66640,0
B210,4,1,1,15,66640,0
B210,4,1,1,15,66640,0
B210,4,1,1,15,66640,0
B210,4,1,1,15,66640,0
B210,4,1,1,9,74480,0
B210,4,1,1,9,74480,0
B210,4,1,1,9,74480,0
B210,4,1,1,9,74480,0
B210,4,1,1,9,74480,0
B210,4,1,1,9,74480,0
B210,4,1,1,9,74480,0
B210,4,1,1,9,74480,0
B210,4,1,1,9,74480,0
B210,4,2,NA,NA,NA,0
B210,4,3,1,4,52920,19600
B210,4,3,1,4,52920,19600
B210,4,3,1,4,52920,19600
B210,4,3,1,4,52920,19600
B210,4,4,1,4,52920,23520
B210,4,4,1,4,52920,23520
B210,4,4,1,4,52920,23520
B210,4,4,1,4,52920,23520
B210,5,1,1,4,56840,21560
B210,5,1,1,4,56840,21560
B210,5,1,1,4,56840,21560
B210,5,1,1,4,56840,21560
B210,5,2,1,4,64680,21560
B210,5,2,1,4,64680,21560
B210,5,2,1,4,64680,21560
B210,5,2,1,4,64680,21560
B210,5,3,1,4,58800,19600
B210,5,3,1,4,58800,19600
B210,5,3,1,4,58800,19600
B210,5,3,1,4,58800,19600
B210,5,4,1,4,54880,21560
B210,5,4,1,4,54880,21560
B210,5,4,1,4,54880,21560
B210,5,4,1,4,54880,21560
B210,5,5,1,4,62720,21560
B210,5,5,1,4,62720,21560
B210,5,5,1,4,62720,21560
B210,5,5,1,4,62720,21560
B211,1,1,1,128,174440,0
B211,1,1,1,127,182280,0
B211,1,1,1,127,182280,0
B211,1,1,1,125,188160,0
B211,1,1,1,125,188160,0
B211,1,2,4,128,139160,0
B211,1,2,4,128,139160,0
B211,1,3,NA,NA,NA,0
B211,1,4,4,512,213640,0
B211,1,4,4,508,221480,0
B211,1,4,4,508,221480,0
B211,1,5,1,256,158760,0
B211,1,5,1,255,190120,0
B211,1,5,1,255,190120,0
B211,1,5,4,253,201880,0
B211,1,5,4,253,201880,0
B211,1,5,4,245,205800,0
B211,1,5,4,241,207760,0
B211,1,5,4,237,209720,0
B211,1,5,4,237,209720,0
B211,2,1,NA,NA,NA,0
B211,2,2,NA,NA,NA,0
B211,2,3,4,128,217560,0
B211,2,3,4,124,233240,0
B211,3,1,4,128,239120,0
B211,3,1,4,128,258720,0
B211,3,2,16,64,135240,0
B211,3,2,4,48,184240,0
B211,3,2,4,176,221480,0
B211,3,2,4,176,221480,0
B211,3,3,4,56,62720,0
B211,3,3,8,52,64680,0
B211,3,3,8,44,84280,0
B211,3,3,8,44,84280,0
B211,3,3,8,44,84280,0
B211,3,3,8,44,84280,0
B211,3,3,8,44,84280,0
B211,3,3,4,44,84280,0
B211,3,4,1,64,154840,0
B211,3,4,1,64,154840,0
B211,3,4,1,62,160720,0
B211,3,4,4,61,170520,0
B211,3,4,1,61,170520,0
B211,3,4,1,56,172480,0
B211,3,4,2,55,178360,0
B211,3,4,4,NA,194040,0
B211,3,4,4,NA,194040,0
B211,3,4,4,NA,194040,0
B211,3,4,4,NA,201880,0
B211,3,4,4,NA,201880,0
B211,4,1,NA,NA,NA,0
B211,4,2,NA,NA,NA,0
B211,4,3,4,64,166600,0
B211,4,3,4,60,205800,0
B211,5,1,NA,NA,NA,0
B211,5,2,NA,NA,NA,0
B211,5,3,NA,NA,NA,0
B211,5,4,8,256,209720,0
B211,5,4,16,248,221480,0
B505,1,1,1,16,164640,0
B505,1,1,1,32,213640,0
B505,1,1,1,32,213640,0
B505,1,2,1,16,160720,0
B505,1,2,1,30,184240,0
B505,1,2,2,29,207760,0
B505,1,2,1,29,207760,0
B505,1,3,NA,NA,NA,0
B505,1,4,NA,NA,NA,0
B505,1,5,1,16,147000,0
B505,1,5,4,60,164640,0
B505,1,5,4,60,164640,0
B505,1,5,1,52,170520,0
B505,1,5,1,52,170520,0
B505,1,5,1,50,174440,0
B505,1,5,1,50,174440,0
B505,1,5,1,50,174440,0
B505,1,5,1,50,174440,0
B505,1,6,1,5,78400,0
B505,1,6,1,5,78400,0
B505,1,6,1,5,78400,0
B505,1,6,1,5,78400,0
B505,1,6,1,5,78400,0
B505,1,7,NA,NA,NA,0
B505,1,8,1,4,94080,0
B505,1,8,1,4,94080,0
B505,1,8,1,4,94080,0
B505,1,8,1,4,94080,0
B505,1,9,4,16,156800,0
B505,1,9,4,60,166600,0
B505,1,9,1,60,166600,0
B505,1,9,4,55,178360,0
B505,1,9,4,55,178360,0
B505,1,10,NA,NA,NA,0
B505,1,11,NA,NA,NA,0
B505,1,12,NA,NA,NA,0
B505,1,13,NA,NA,NA,0
B505,1,14,NA,NA,NA,0
B505,1,15,NA,NA,NA,0
B505,1,16,4,64,180320,0
B505,1,16,1,64,180320,0
B505,1,16,1,64,180320,0
B505,1,16,1,64,180320,0
B505,1,16,1,57,203840,0
B505,1,16,1,57,203840,0
B505,1,16,1,57,203840,0
B505,1,17,1,61,172480,0
B505,1,17,1,60,176400,0
B505,1,17,1,59,178360,0
B505,1,17,1,59,178360,0
B505,1,18,1,5,107800,0
B505,1,18,1,7,137200,0
B505,1,18,1,7,137200,0
B505,1,18,1,8,139160,0
B505,1,18,1,8,139160,0
B505,1,18,4,8,141120,0
B505,1,18,4,8,141120,0
B505,2,1,1,4,82320,0
B505,2,2,1,4,52920,0
B505,2,2,1,4,52920,0
B505,2,2,1,4,52920,0
B505,2,2,1,4,52920,0
B505,2,3,1,4,19600,0
B505,2,3,1,4,33320,0
B505,2,3,1,4,33320,0
B505,2,3,NA,16,54880,0
B505,2,3,NA,16,54880,0
B505,2,4,1,4,64680,0
B505,2,4,1,4,64680,0
B505,2,4,1,4,64680,0
B505,2,4,1,4,64680,0
B505,2,5,1,8,58800,0
B505,2,5,1,8,58800,0
B505,2,5,1,8,58800,0
B505,2,5,1,8,58800,0
B505,2,5,1,8,58800,0
B505,2,5,1,8,58800,0
B505,2,5,1,8,58800,0
B505,2,5,1,8,58800,0
B505,2,6,1,4,49000,3920
B505,2,6,1,4,49000,3920
B505,2,6,1,4,49000,3920
B505,2,6,1,4,49000,3920
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,7,1,16,45080,0
B505,2,8,1,4,58800,3920
B505,2,8,1,4,58800,3920
B505,2,8,1,4,58800,3920
B505,2,8,1,4,58800,3920
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,9,1,16,43120,0
B505,2,10,1,4,45080,0
B505,2,10,1,4,45080,0
B505,2,10,1,4,45080,0
B505,2,10,1,4,45080,0
B505,2,11,1,4,45080,0
B505,2,11,1,4,45080,0
B505,2,11,1,4,45080,0
B505,2,11,1,4,45080,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,12,1,16,37240,0
B505,2,13,1,4,82320,17640
B505,2,13,1,4,82320,17640
B505,2,13,1,4,82320,17640
B505,2,13,1,4,82320,17640
B505,2,14,1,4,64680,0
B505,2,14,1,4,64680,0
B505,2,14,1,4,64680,0
B505,2,14,1,4,64680,0
B505,2,15,1,4,52920,0
B505,2,15,1,4,52920,0
B505,2,15,1,4,52920,0
B505,2,15,1,4,52920,0
B505,2,16,1,4,45080,0
B505,2,16,1,4,45080,0
B505,2,16,1,4,45080,0
B505,2,16,1,4,45080,0
B505,2,17,1,4,50960,0
B505,2,17,1,4,50960,0
B505,2,17,1,4,50960,0
B505,2,17,1,4,50960,0
B505,2,18,1,4,64680,0
B505,2,18,1,4,64680,0
B505,2,18,1,4,64680,0
B505,2,18,1,4,64680,0
B505,2,19,1,8,62720,0
B505,2,19,1,8,62720,0
B505,2,19,1,8,62720,0
B505,2,19,1,8,62720,0
B505,2,19,1,8,62720,0
B505,2,19,1,8,62720,0
B505,2,19,1,8,62720,0
B505,2,19,1,8,62720,0
B505,2,20,NA,NA,NA,0
B505,2,21,1,8,54880,0
B505,2,21,1,8,54880,0
B505,2,21,1,8,54880,0
B505,2,21,1,8,54880,0
B505,2,21,1,8,54880,0
B505,2,21,1,8,54880,0
B505,2,21,1,8,54880,0
B505,2,21,1,8,54880,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,22,1,16,37240,0
B505,2,23,1,32,82320,0
B505,2,23,1,32,82320,0
B505,2,23,NA,32,86240,0
B505,2,23,NA,26,86240,0
B505,2,23,NA,26,86240,0
B505,2,24,1,16,54880,0
B505,2,24,1,16,56840,0
B505,2,25,NA,NA,NA,0
B505,2,26,NA,NA,NA,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,27,1,16,41160,0
B505,2,28,1,8,54880,0
B505,2,28,1,8,54880,0
B505,2,28,1,8,54880,0
B505,2,28,1,8,54880,0
B505,2,28,1,8,54880,0
B505,2,28,1,8,54880,0
B505,2,28,1,8,54880,0
B505,2,28,1,8,54880,0
B505,2,29,1,8,11760,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
B505,2,29,1,56,27440,0
